NO,DON,OAP
1,0,14.15
2,0,11.13
3,0,7.25
4,0,5.19
5,0,4.15
6,0,3.29
7,0,2.26
8,0,0.01
9,28.76,3.27
10,48.54,3.34
11,57.94,4.28
12,69.18,7.2
13,225.41,14.16
14,187.89,7.2
15,74.78,9.27
16,74.67,14.1
17,86.09,9.26
18,75.89,2.2
19,116.33,5.27
20,128.58,5.26
21,178.42,9.19
22,177.38,13.24
23,204.63,16.15
24,215.99,14.16
25,206.9,0.03
26,247.29,5.17
27,289.54,11.18
28,306.31,19.1
29,327.23,11.15
30,358.32,11.13
31,389.22,19.12
32,419.35,20.05
33,426.85,21.33
34,426.9,19.18
35,458.04,17.09
36,468.34,20.01
37,577.52,24.24
38,588.95,19.06
